nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d013647	NA	turquoise
Zm00001d013693	NA	turquoise
Zm00001d013699	NA	turquoise
Zm00001d013722	NA	turquoise
Zm00001d013725	NA	turquoise
Zm00001d013736	NA	turquoise
Zm00001d013788	NA	turquoise
Zm00001d013806	NA	turquoise
Zm00001d013810	NA	turquoise
Zm00001d013825	NA	turquoise
Zm00001d013862	NA	turquoise
Zm00001d013879	NA	turquoise
Zm00001d013898	NA	turquoise
Zm00001d013945	NA	turquoise
Zm00001d013949	NA	turquoise
Zm00001d013950	NA	turquoise
Zm00001d013955	NA	turquoise
Zm00001d013995	NA	turquoise
Zm00001d014000	NA	turquoise
Zm00001d014001	NA	turquoise
Zm00001d014060	NA	turquoise
Zm00001d014062	NA	turquoise
Zm00001d014084	NA	turquoise
Zm00001d014091	NA	turquoise
Zm00001d014136	NA	turquoise
Zm00001d014321	NA	turquoise
Zm00001d014324	NA	turquoise
Zm00001d014351	NA	turquoise
Zm00001d014414	NA	turquoise
Zm00001d014443	NA	turquoise
Zm00001d014458	NA	turquoise
Zm00001d014499	NA	turquoise
Zm00001d014517	NA	turquoise
Zm00001d014532	NA	turquoise
Zm00001d014554	NA	turquoise
Zm00001d014572	NA	turquoise
Zm00001d014606	NA	turquoise
Zm00001d014643	NA	turquoise
Zm00001d014650	NA	turquoise
Zm00001d014657	NA	turquoise
Zm00001d014680	NA	turquoise
Zm00001d014681	NA	turquoise
Zm00001d014695	NA	turquoise
Zm00001d014743	NA	turquoise
Zm00001d014755	NA	turquoise
Zm00001d014789	NA	turquoise
Zm00001d014793	NA	turquoise
Zm00001d014816	NA	turquoise
Zm00001d014848	NA	turquoise
Zm00001d014958	NA	turquoise
Zm00001d014965	NA	turquoise
Zm00001d015068	NA	turquoise
Zm00001d015076	NA	turquoise
Zm00001d015077	NA	turquoise
Zm00001d015079	NA	turquoise
Zm00001d015096	NA	turquoise
Zm00001d015226	NA	turquoise
Zm00001d015243	NA	turquoise
Zm00001d015274	NA	turquoise
Zm00001d015276	NA	turquoise
Zm00001d015347	NA	turquoise
Zm00001d015394	NA	turquoise
Zm00001d015442	NA	turquoise
Zm00001d015459	NA	turquoise
Zm00001d015463	NA	turquoise
Zm00001d015469	NA	turquoise
Zm00001d015493	NA	turquoise
Zm00001d015517	NA	turquoise
Zm00001d015550	NA	turquoise
Zm00001d015578	NA	turquoise
Zm00001d015579	NA	turquoise
Zm00001d015623	NA	turquoise
Zm00001d015776	NA	turquoise
